Column1|name|pos|team|overallRank|positionRank|passAtt|passComp|passIncomp|passYds|passTds|passInt|rushAtt|rushYds|rushTds|rec|recYds|recTds|returnTds|twoPts|fumbles|cost|risk|sdPts|sdPick|passAttPts|passCompPts|passIncompPts|passYdsPts|passTdsPts|passIntPts|rushAttPts|rushYdsPts|rushTdsPts|recPts|recYdsPts|recTdsPts|twoPtsPts|fumblesPts|projectedPts|upside|projectedCost|
239|Tim Wright|TE|NE|246|39|0|0|0|0|0|0|0.5|0|0|28.49996242|329|2.500052297|0|0|0|1|7.419523662|23.26047201|32.8|0|0|0|0|0|0|0|0|0|0|32.9|15.00031378|0|0|47.90031378|71.1607858|1|
240|Jordan Todman|RB|JAC|230|68|0|0|0|0|0|0|63.075|281.35|2.00005488|14.41458847|117.1013924|0.750019648|0.2|0|1.500008677|1|6.072302053|26.06294215|20.7|0|0|0|0|0|0|0|28.135|12.00032928|0|11.71013924|4.50011789|0|-3.000017354|54.54556906|80.6085112|1|
241|David Nelson|WR|NYJ|251|100|0.025|0|0.025|0|0|0|0|0|0|28.93577198|361.0350025|1.699993098|0|0|0|1|5.611940569|21.44958452|NA|0|0|0|0|0|0|0|0|0|0|36.10350025|10.19995859|0|0|46.30345883|67.75304335|1|
242|Davante Adams|WR|GB|249|99|0|0|0|0|0|0|0|0|0|25.49993459|342.85|2.500014271|0|0|1|1|5.622976078|26.60746993|16.9|0|0|0|0|0|0|0|0|0|0|34.285|15.00008562|0|-2|47.28508562|73.89255556|1|
243|Marcel Reece|RB|OAK|242|73|0|0|0|0|0|0|30.19852011|140.2|1.000018981|24.625|213.5|1.324949984|0|0|0|1|4.153103121|24.36319957|6.9|0|0|0|0|0|0|0|14.02|6.000113884|0|21.35|7.949699904|0|0|49.31981379|73.68301336|1|
244|Robert Turbin|RB|SEA|233|69|0|0|0|0|0|0|70.625|299.75|2.000011263|10.85176571|86.5|0.684280968|0|0|0.784967476|1|8.195065097|25.89568535|37.2|0|0|0|0|0|0|0|29.975|12.00006758|0|8.65|4.105685808|0|-1.569934952|53.16081843|79.05650379|1|
245|Austin Collie|WR|NA|252|101|0|0|0|0|0|0|0|0|0|0|339|2|0|0|0|1|4.176448374|12.267291|NA|0|0|0|0|0|0|0|0|0|0|33.9|12|0|0|45.9|58.167291|1|
246|Jacoby Jones|WR|BAL|248|98|0.005|0|0|0|0|0|1.548972812|10.28498346|0|23.49994643|305.0000499|1.745036353|1.2|0|0.866129473|1|5.670505241|21.82420028|NA|0|0|0|0|0|0|0|1.028498346|0|0|30.50000499|10.47021812|0|-1.732258946|47.4664625|69.29066279|1|
247|Paul Richardson|WR|SEA|254|102|0|0|0|0|0|0|0|0|0|22.99991064|335.75|1.999966766|0|0|0|1|9.429881703|24.63602017|47.5|0|0|0|0|0|0|0|0|0|0|33.575|11.99980059|0|0|45.57480059|70.21082076|1|
248|Benny Cunningham|RB|STL|234|70|0.05|0|0.03|0|0|0|70.325|319|1.850048843|11.50005108|85.99995575|0.330965905|0.2|0|1|1|8.037153319|27.68431938|34.9|0|0|0|0|0|0|0|31.9|11.10029306|0|8.599995575|1.985795429|0|-2|52.78608406|80.47040344|1|
249|Brandon Pettigrew|TE|DET|250|40|0|0|0|0|0|0|0|0|0|31.49999445|335|2.499976808|0|0|0.999945461|1|5.192668805|21.76485476|16.5|0|0|0|0|0|0|0|0|0|0|33.5|14.99986085|0|-1.999890922|46.49996992|68.26482469|1|
250|Jerrel Jernigan|WR|NYG|256|103|0|0|0|0|0|0|2.000024841|12.92401961|0|26.20002414|317|2.000040035|0|0|0|1|7.294122867|27.94905031|29|0|0|0|0|0|0|0|1.292401961|0|0|31.7|12.00024021|0|0|44.99264217|72.94169248|1|
251|Jarius Wright|WR|MIN|258|104|0|0|0|0|0|0|0|0|0|22.5|327|1.999938674|0|0|0|1|5.956677761|23.65473623|NA|0|0|0|0|0|0|0|0|0|0|32.7|11.99963204|0|0|44.69963204|68.35436828|1|
252|Earl Bennett|WR|NA|260|106|0|0|0|0|0|0|0|0|0|21.84446967|336.0500069|1.809442934|0|0|0|1|5.887925676|23.21495549|NA|0|0|0|0|0|0|0|0|0|0|33.60500069|10.85665761|0|0|44.4616583|67.67661378|1|
253|Cole Beasley|WR|DAL|259|105|0|0|0|0|0|0|0|0|0|30.53325279|337.7999829|2|0|0|0.551720338|1|5.274559616|19.29148784|NA|0|0|0|0|0|0|0|0|0|0|33.77999829|12|0|-1.103440677|44.67655761|63.96804545|1|
254|Jeff Cumberland|TE|NYJ|257|41|0|0|0|0|0|0|0|0|0|26.5|326.93|2.240007746|0|0|0.6|1|5.686086377|21.92386684|NA|0|0|0|0|0|0|0|0|0|0|32.693|13.44004648|0|-1.2|44.93304648|66.85691331|1|
255|Bobby Rainey|RB|TB|237|71|0|0|0|0|0|0|69.48002701|302|1.899958748|10.8479251|79.275|0.650050761|0|0|0.999974062|1|6.915475256|22.44251664|29.4|0|0|0|0|0|0|0|30.2|11.39975249|0|7.9275|3.900304567|0|-1.999948123|51.42760893|73.87012557|1|
256|Adrien Robinson|TE|NYG|263|42|0|0|0|0|0|0|0|0|0|28.85|334.4599729|1.999987394|0|0|0.6|1|10.18884112|24.07826747|53.7|0|0|0|0|0|0|0|0|0|0|33.44599729|11.99992436|0|-1.2|44.24592166|68.32418912|1|
257|Martavis Bryant|WR|PIT|264|108|0|0|0|0|0|0|0|0|0|23.90000022|317.275|2.000027667|0|0|0|1|6.198474701|25.2014186|NA|0|0|0|0|0|0|0|0|0|0|31.7275|12.000166|0|0|43.727666|68.9290846|1|
258|Latavius Murray|RB|OAK|239|72|0|0|0|0|0|0|67.59997566|265|2.000025382|9.999960074|75.85|0.6|0|0|0|1|6.444047536|26.18192478|23.5|0|0|0|0|0|0|0|26.5|12.00015229|0|7.585|3.6|0|0|49.68515229|75.86707707|1|
259|Jarvis Landry|WR|MIA|262|107|0|0|0|0|0|0|0|0|0|29.5|316.5|2.000005591|0.3|0|0.6|1|8.920218348|23.91183302|44|0|0|0|0|0|0|0|0|0|0|31.65|12.00003354|0|-1.2|44.25003354|68.16186656|1|
260|Michael Vick|QB|NYJ|224|37|98.4|55.1|40.85237045|724|4.3327733|3.999976279|22.03459389|134.95|1.000050692|0|0|0|0|0.5|1.099955905|1|10.06895218|42.74789277|41.5|0|0|0|28.96|17.3310932|-7.999952558|0|13.495|6.000304153|0|0|0|1|-2.199911811|56.58653298|99.33442575|1|
